Operation,Details,Date
175682188384256011,GA6BKV237WQ7ZJE53O6LATAZUTYOAFAZQ57UO435JV2QK6HKHO2UCWOK updated offer 991122483 – sell 0.0924004 USDC-GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN for AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA at 461 AQUA/USDC,2022-05-16 19:46:12 UTC
175682188384256010,GA6BKV237WQ7ZJE53O6LATAZUTYOAFAZQ57UO435JV2QK6HKHO2UCWOK updated offer 991135962 – sell 0.0919147 USDC-GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN for AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA at 467 AQUA/USDC,2022-05-16 19:46:12 UTC
175682188384256009,GA6BKV237WQ7ZJE53O6LATAZUTYOAFAZQ57UO435JV2QK6HKHO2UCWOK updated offer 991105171 – sell 42.041173 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA for USDC-GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN at 0.0022 USDC/AQUA,2022-05-16 19:46:12 UTC
175682188384256008,GA6BKV237WQ7ZJE53O6LATAZUTYOAFAZQ57UO435JV2QK6HKHO2UCWOK updated offer 991117395 – sell 41.9567929 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA for USDC-GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN at 0.0022 USDC/AQUA,2022-05-16 19:46:12 UTC
175682188384256007,GA6BKV237WQ7ZJE53O6LATAZUTYOAFAZQ57UO435JV2QK6HKHO2UCWOK updated offer 991122694 – sell 41.8732627 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA for USDC-GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN at 0.0022 USDC/AQUA,2022-05-16 19:46:12 UTC
175682188384256006,GA6BKV237WQ7ZJE53O6LATAZUTYOAFAZQ57UO435JV2QK6HKHO2UCWOK updated offer 991127867 – sell 41.7905279 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA for USDC-GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN at 0.0022 USDC/AQUA,2022-05-16 19:46:12 UTC
175682188384256005,GA6BKV237WQ7ZJE53O6LATAZUTYOAFAZQ57UO435JV2QK6HKHO2UCWOK updated offer 991138446 – sell 41.7067743 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA for USDC-GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN at 0.0023 USDC/AQUA,2022-05-16 19:46:12 UTC
175682188384256004,GA6BKV237WQ7ZJE53O6LATAZUTYOAFAZQ57UO435JV2QK6HKHO2UCWOK updated offer 991143064 – sell 41.6238629 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA for USDC-GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN at 0.0023 USDC/AQUA,2022-05-16 19:46:12 UTC
175682188384256003,GA6BKV237WQ7ZJE53O6LATAZUTYOAFAZQ57UO435JV2QK6HKHO2UCWOK updated offer 991145321 – sell 41.54174 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA for USDC-GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN at 0.0023 USDC/AQUA,2022-05-16 19:46:12 UTC
175682188384256002,GA6BKV237WQ7ZJE53O6LATAZUTYOAFAZQ57UO435JV2QK6HKHO2UCWOK updated offer 991145322 – sell 41.4586674 AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA for USDC-GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN at 0.0023 USDC/AQUA,2022-05-16 19:46:12 UTC
